contract name,last traded,strike,last,bid,ask,change,chang%,Volume,Open Int.,Implied Vol,expiry
AAPL190607C00212500,2019-04-30 1:40PM EDT,212.5,2.43,2.49,2.61,-1.32,-35.20%,36,37,25.33%,6/7/2019
AAPL190607C00215000,2019-04-30 1:38PM EDT,215,1.9,1.92,1.99,-0.86,-31.16%,88,208,24.96%,6/7/2019
AAPL190607C00217500,2019-04-30 1:21PM EDT,217.5,1.41,1.47,1.55,-0.68,-32.54%,54,77,24.99%,6/7/2019
AAPL190607C00220000,2019-04-30 2:29PM EDT,220,1.12,1.1,1.17,-0.63,-36.00%,"1,803",49,24.85%,6/7/2019
AAPL190607C00222500,2019-04-30 11:28AM EDT,222.5,0.76,0.83,0.88,-0.61,-44.53%,15,13,24.79%,6/7/2019
AAPL190607C00225000,2019-04-30 1:21PM EDT,225,0.62,0.64,0.69,-0.41,-39.81%,32,41,25.07%,6/7/2019
AAPL190607C00227500,2019-04-30 1:09PM EDT,227.5,0.48,0.47,0.52,-0.38,-44.19%,4,5,25.15%,6/7/2019
AAPL190607C00230000,2019-04-30 2:11PM EDT,230,0.39,0.36,0.4,-0.22,-36.07%,28,14,25.37%,6/7/2019
AAPL190607C00232500,2019-04-30 9:49AM EDT,232.5,0.31,0.27,0.32,-0.15,-32.61%,2,281,25.78%,6/7/2019
AAPL190607C00235000,2019-04-30 10:16AM EDT,235,0.23,0.21,0.24,-0.14,-37.84%,6,209,25.88%,6/7/2019
AAPL190607C00237500,2019-04-30 12:45PM EDT,237.5,0.18,0.16,0.2,-0.12,-40.00%,21,39,26.47%,6/7/2019
AAPL190607C00240000,2019-04-30 10:40AM EDT,240,0.17,0.13,0.16,-0.03,-15.00%,22,6,26.86%,6/7/2019
AAPL190607C00245000,2019-04-29 2:46PM EDT,245,0.15,0.08,0.11,0,-,-,13,27.88%,6/7/2019
AAPL190607C00250000,2019-04-30 11:52AM EDT,250,0.06,0.04,0.08,-0.03,-33.33%,8,18,29.00%,6/7/2019
AAPL190621C00080000,2019-04-29 10:48AM EDT,80,125.2,121.35,121.7,0,-,41,45,112.21%,6/21/2019
AAPL190621C00085000,2019-02-13 1:18PM EDT,85,85,113.15,117.45,0,-,0,0,133.79%,6/21/2019
AAPL190621C00090000,2019-04-10 11:40AM EDT,90,109.6,111.35,111.7,0,-,5,12,98.93%,6/21/2019
AAPL190621C00095000,2019-02-12 1:23PM EDT,95,75.52,103.2,107.45,0,-,1,3,118.31%,6/21/2019
AAPL190621C00100000,2019-04-29 10:43AM EDT,100,105.53,101.3,101.65,0,-,6,344,84.67%,6/21/2019
AAPL190621C00105000,2019-04-23 12:03PM EDT,105,101.9,96.3,96.65,0,-,0,8,79.30%,6/21/2019
AAPL190621C00110000,2019-04-18 3:33PM EDT,110,93.81,91.35,91.7,0,-,1,27,76.22%,6/21/2019
AAPL190621C00115000,2019-04-11 2:15PM EDT,115,84.25,86.35,86.65,0,-,2,225,70.22%,6/21/2019
AAPL190621C00120000,2019-04-30 10:48AM EDT,120,81.05,81.25,81.6,-4.1,-4.82%,11,343,62.40%,6/21/2019
AAPL190621C00125000,2019-04-18 9:39AM EDT,125,78.02,76.35,76.65,0,-,2,246,60.84%,6/21/2019
AAPL190621C00130000,2019-04-30 9:43AM EDT,130,71.72,71.3,71.6,0.28,0.39%,1,270,54.64%,6/21/2019
AAPL190621C00135000,2019-04-30 10:26AM EDT,135,65.92,66.35,66.7,-4.18,-5.96%,2,357,52.83%,6/21/2019
AAPL190621C00140000,2019-04-30 11:46AM EDT,140,60.41,61.4,61.75,-4.65,-7.15%,7,"1,478",53.61%,6/21/2019
AAPL190621C00145000,2019-04-30 1:34PM EDT,145,55.89,56.45,56.8,-4.73,-7.80%,6,"1,825",50.05%,6/21/2019
AAPL190621C00150000,2019-04-30 1:50PM EDT,150,51.5,51.4,51.8,-3.6,-6.53%,78,"10,728",45.68%,6/21/2019
AAPL190621C00155000,2019-04-30 2:24PM EDT,155,46.5,46.45,46.8,-3.85,-7.65%,67,"7,369",41.41%,6/21/2019
AAPL190621C00160000,2019-04-30 2:22PM EDT,160,41.8,41.65,41.9,-3.48,-7.69%,630,"12,364",38.53%,6/21/2019
AAPL190621C00165000,2019-04-30 1:35PM EDT,165,36.3,36.75,36.95,-3.6,-9.02%,178,"8,387",34.86%,6/21/2019
AAPL190621C00170000,2019-04-30 2:26PM EDT,170,32.01,31.9,32.15,-3.08,-8.78%,615,"13,748",32.54%,6/21/2019
